game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CHE X WAT 2017-05-15;229 (86%);217 (84%);446 (85%);200 (85%);181 (82%);381 (84%);2;4;6;7;5;12;53%;54%;53%;47%;46%;47%;;;;;;;;;;;;;1;0;1;5;3;8;2;1;3;5;3;8;0;0;0;1;0;1;16;17;33;43;29;72;12;7;0;5;5;0;0;0;;;;;;;0;2;2;1;3;4;265;257;522;235;221;456;0;1;1;0;0;0;2;2;4;9;8;17;2;3;5;3;4;7;1;2;3;2;7;9;2;3;5;1;6;7;4;5;9;10;14;24;2;4;6;1;1;2;3;2017-05-15;-3;6;7;12;5;1;-2;-1;-4;-6;-11;-3;-2;24;35;98;56;-68;30;7;3;-3;-4.0;-9;-7;8;33;21;9.0;56;69;34;16;-5;6;-12;-18;-8;-22;15;0.0;-10;-1;5;-7;8;84;46;-46;-16;-12;-16;-12;-11;-9;-13;3;-5;-6;-6;-6;6;6;-6;-5;35;44;4;27;47;80;41;24;-79;-38;-35;-23;-37;5;-79;-40;-46;-19;-7;22;60;70;74.0;100.0;6;58.0;55.0;4;17:00:00;1;WAT;CHE
SOU X MUN 2017-05-17;217 (85%);154 (79%);371 (82%);208 (81%);187 (82%);395 (82%);6;5;11;10;4;14;50%;45%;48%;50%;55%;52%;;;;;;;;;;;;;2;0;2;1;3;4;3;0;3;3;4;7;1;0;1;0;0;0;16;17;33;20;27;47;10;7;3;3;6;1;0;1;0;1;1;0;0;0;2;1;3;0;0;0;255;195;450;257;227;484;;;;;;;1;2;3;3;7;10;4;4;8;3;4;7;1;0;1;3;3;6;6;2;8;4;3;7;7;4;11;7;10;17;0;1;1;2;0;2;0;2017-05-17;7;-4;-22;-21;-25;-8;-27;-13;7;12;26;14;17;-47;-34;-21;-8;26;21;14;8;4;44.0;5;6;33;24;-28;-10.0;-27;-19;-18;-17;58;-13;-13;-9;-26;-16;4;10.0;3;3;4;9;40;6;10;11;52;33;17;48;71;62;41;100;89;74;52;31;20;4;2;-24;-16;-8;82;-2;2;-14;-34;-23;-17;-13;-10;-11;-13;44;-2;6;38;20;34;22;9;-4;1.0;1.0;-40;1.0;-5.0;0;16:45:00;0;MUN;SOU
WBA X ARS 2017-03-18;358 (88%);301 (88%);659 (88%);63 (59%);67 (58%);130 (59%);9;8;17;7;5;12;79%;76%;77%;21%;24%;23%;;;;;;;;;;;;;2;3;5;1;0;1;0;5;5;3;1;4;0;0;0;1;2;3;21;20;41;18;23;41;6;5;3;1;4;1;0;1;0;1;1;0;0;0;0;1;1;2;0;2;409;343;752;106;115;221;;;;;;;3;3;6;6;5;11;1;3;4;1;2;3;2;0;2;4;4;8;2;3;5;0;1;1;5;6;11;6;6;12;0;0;0;1;0;1;1;2017-03-18;-7;7;1;-1;134;70;36;-82;-34;-33;-27;-10;-22;-14;-9;-4;-6;-7;-3;16;3;8;-12.0;-5;21;7;-5;-19;-13.0;44;12;5;-8;-13;3;-4;-33;-28;-19;-4;0.0;-5;-7;-7;-8;-13;-8;7;2;-4;-34;-23;-18;71;31;16;-12;5;-10;-12;-11;-11;-35;-49;-3;36;16;-10;62;30;16;2;-5;-9;96;49;25;-25;42;-9;-16;-13;-47;-10;-10;-9;-9;-12.0;9.0;25;-2.0;-50.0;3;10:30:00;1;ARS;WBA
CRY X WAT 2017-03-18;115 (63%);157 (74%);272 (69%);101 (66%);86 (65%);187 (66%);13;6;19;14;9;23;54%;61%;57%;46%;39%;43%;;;;;;;;;;;;;0;0;0;1;1;2;1;1;2;2;1;3;;;;;;;26;24;50;29;35;64;15;8;0;0;0;1;1;2;;;;;;;0;1;1;1;0;1;182;212;394;152;132;284;;;;;;;1;1;2;2;4;6;2;2;4;2;3;5;1;1;2;0;0;0;2;2;4;1;1;2;3;3;6;3;4;7;1;1;2;0;0;0;0;2017-03-18;-10;9;17;8;3;-44;-29;-22;-18;-13;-7;6;-6;-6;-6;-6;8;-3;-3;-3;-2;-4;8.0;-4;-5;-5;6;-8;-11.0;-4;3;24;27;6;49;22;6;-7;-35;-11;-25.0;-11;-9;-33;-22;2;-14;-11;-13;-5;-2;-1;21;12;7;5;1;3;1;5;8;-8;-8;27;13;3;-4;-1;37;16;6;-4;-4;-7;-47;-51;-37;-28;-3;-28;23;-8;-3;-5;36;13;4;-5.0;-10.0;54;-2.0;-35.0;1;13:00:00;1;WAT;CRY
EVE X HUL 2017-03-18;110 (64%);206 (81%);316 (74%);216 (81%);161 (80%);377 (80%);10;4;14;3;5;8;40%;57%;49%;60%;43%;51%;;;;;;;;;;;;;2;0;2;2;0;2;2;6;8;3;2;5;;;;;;;22;24;46;20;23;43;7;9;2;2;4;0;0;0;;;;;;;0;0;0;3;1;4;172;253;425;267;202;469;0;1;1;0;0;0;2;2;4;6;6;12;2;2;4;1;3;4;0;0;0;3;5;8;2;0;2;0;2;2;4;2;6;6;8;14;0;0;0;0;2;2;0;2017-03-18;-1;79;54;31;32;19;10;15;13;11;10;-1;4;6;7;42;31;14;-23;-4;-1;14;-6.0;11;37;18;9;64;38.0;22;14;9;-49;-12;-33;-20;-13;-3;-1;-1;25.0;-8;-10;-11;-12;-5;-13;-13;-13;-13;-50;-12;-4;-5;22;15;-1;-8;-8;-11;63;29;21;16;13;69;43;2;27;12;3;-16;-8;7;-19;-13;-5;-1;-1;72;37;17;5;-50;-36;21;1;6.0;13.0;-1;6.0;90.0;4;13:00:00;1;HUL;EVE
STO X CHE 2017-03-18;213 (83%);226 (86%);439 (84%);109 (70%);85 (63%);194 (67%);7;9;16;5;8;13;63%;66%;64%;37%;34%;36%;;;;;;;;;;;;;3;5;8;0;2;2;2;9;11;1;4;5;0;1;1;0;0;0;26;38;64;28;21;49;11;16;0;0;0;1;4;5;0;2;2;0;0;0;0;2;2;2;1;3;258;264;522;156;134;290;0;0;0;0;1;1;4;9;13;1;4;5;1;4;5;0;2;2;2;5;7;1;0;1;2;5;7;0;0;0;6;14;20;1;4;5;1;1;2;2;4;6;2;2017-03-18;-2;-10;-15;-10;-9;-83;-52;-39;-29;-16;-4;4;5;-4;-21;-8;-12;-19;-16;-13;-14;-13;-5.0;-39;-30;-24;-11;-22;-7.0;-10;-1;34;53;-6;32;20;9;-8;-26;7;5.0;19;7;-10;-6;-8;-8;-35;-46;-27;-16;-5;-1;-7;-9;-12;-9;-18;-16;-15;-59;-31;-14;-13;-33;-11;-53;-10;-32;-39;-22;14;-7;-8;-9;-95;-53;-56;-10;-33;-19;20;36;56;41;68;-67;-44.0;-34.0;-10;-22.0;-110.0;1;13:00:00;-1;CHE;STO
SUN X BUR 2017-03-18;129 (70%);143 (72%);272 (71%);111 (66%);75 (58%);186 (63%);18;13;31;11;13;24;54%;59%;56%;46%;41%;44%;;;;;;;;;;;;;2;4;6;1;1;2;3;2;5;1;2;3;;;;;;;31;28;59;26;24;50;7;14;2;3;5;1;2;3;;;;;;;0;1;1;0;0;0;184;200;384;167;130;297;;;;;;;3;6;9;1;6;7;5;2;7;2;5;7;1;2;3;2;3;5;5;2;7;4;3;7;8;8;16;5;9;14;1;0;1;0;3;3;0;2017-03-18;7;-4;-3;-3;-2;-6;-7;-8;-31;-25;-68;4;-50;-52;-61;-29;-7;-7;-7;-5;-2;2;2.0;10;32;42;28;20;-27.0;-12;-40;-26;-18;1;-11;-8;-40;-20;14;44;0.0;-5;21;10;1;1;36;67;33;40;24;12;-25;-12;-13;-7;3;-4;-10;-13;-15;-2;2;6;5;30;18;9;12;7;5;2;-4;7;8;2;18;8;-40;11;-13;-1;23;9;-8;-43;-28;-100.0;-65.0;26;-49.0;0.0;0;13:00:00;0;BUR;SUN
WES X LEI 2017-03-18;136 (72%);98 (59%);234 (66%);147 (78%);247 (85%);394 (82%);6;10;16;17;18;35;50%;35%;42%;50%;65%;58%;;;;;;;;;;;;;1;1;2;1;4;5;5;0;5;1;5;6;0;1;1;0;0;0;22;32;54;38;43;81;14;10;0;4;4;0;2;2;;;;;;;0;0;0;2;0;2;189;165;354;189;289;478;;;;;;;6;2;8;4;8;12;3;1;4;6;2;8;3;2;5;1;6;7;1;2;3;4;4;8;7;4;11;8;12;20;0;1;1;0;0;0;3;2017-03-18;-10;-44;-23;-17;-7;22;9;10;5;2;-1;29;6;73;14;8;4;31;-35;-34;-18;-9;19.0;7;3;10;8;6;38.0;64;48;29;-25;8;-75;-17;-5;11;-25;-30;-5.0;-15;-6;-1;3;2;4;-39;-19;-10;-4;-1;13;5;-3;-3;-83;-34;-19;-9;42;100;77;47;30;16;4;-53;4;-9;-1;5;5;7;34;29;46;56;-100;42;67;63;64;40;100;84;77;48.0;32.0;-69;52.0;25.0;2;13:00:00;-1;LEI;WES
BOU X SWA 2017-03-18;178 (80%);196 (77%);374 (79%);214 (85%);145 (74%);359 (80%);8;8;16;4;5;9;48%;58%;53%;52%;42%;47%;;;;;;;;;;;;;2;2;4;0;2;2;2;2;4;1;1;2;;;;;;;27;28;55;26;22;48;9;10;1;4;5;1;0;1;;;;;;;0;1;1;2;0;2;222;254;476;252;197;449;;;;;;;4;0;4;3;3;6;3;2;5;4;0;4;1;0;1;1;5;6;2;4;6;3;4;7;6;4;10;5;7;12;1;1;2;0;0;0;0;2017-03-18;9;1;2;1;-2;-33;33;5;3;1;-21;13;-12;-2;8;-6;-31;-18;-7;-6;4;1;41.0;6;1;73;40;16;6.0;-4;-85;-51;-27;36;-13;48;32;26;-53;-5;0.0;21;10;6;8;23;10;-5;-9;-8;63;30;16;9;35;19;16;15;12;11;8;8;13;-7;-22;-19;-78;32;-46;-71;-39;76;32;20;16;10;6;5;13;14;9;6;49;24;14;3;-5;-11.0;-12.0;11;-7.0;20.0;2;15:30:00;1;SWA;BOU
MID X MUN 2017-03-19;136 (75%);103 (72%);239 (73%);226 (82%);234 (84%);460 (83%);13;9;22;10;9;19;40%;33%;37%;60%;67%;63%;;;;;;;;;;;;;3;1;4;2;1;3;3;0;3;4;4;8;0;2;2;0;0;0;28;29;57;28;29;57;8;9;1;1;2;3;0;3;;;;;;;0;1;1;0;0;0;182;144;326;275;280;555;;;;;;;7;2;9;4;5;9;3;1;4;2;2;4;4;2;6;1;2;3;3;2;5;1;0;1;10;4;14;5;5;10;1;0;1;1;0;1;3;2017-03-19;10;37;25;25;33;86;51;33;22;14;7;12;7;-47;-28;-45;-100;-99;-54;-32;-17;-5;14.0;-75;-38;-10;-1;23;25.0;-53;-20;28;-7;25;4;9;9;6;30;24;;19;16;14;3;6;18;7;-13;6;5;27;10;6;2;-32;21;-15;-3;5;-71;-33;51;22;48;40;35;-37;43;25;17;14;12;10;25;22;95;64;-19;32;12;11;5;7;9;10;10;10.0;45.0;-6;31.0;-50.0;1;10:00:00;-1;MUN;MID
TOT X SOU 2017-03-19;145 (71%);187 (79%);332 (75%);155 (73%);186 (77%);341 (75%);5;8;13;5;4;9;50%;50%;50%;50%;50%;50%;;;;;;;;;;;;;0;1;1;2;2;4;1;0;1;4;1;5;;;;;;;23;29;52;19;25;44;13;12;3;1;4;1;1;2;;;;;;;2;5;7;1;1;2;205;238;443;213;243;456;;;;;;;2;3;5;5;2;7;3;1;4;0;2;2;1;2;3;5;1;6;2;1;3;2;3;5;4;4;8;7;5;12;1;2;3;2;1;3;1;2017-03-19;-10;-4;-8;-11;-21;-7;105;92;52;4;-33;-4;-28;-21;-8;25;44;14;1;42;21;-33;2.0;-11;-25;-12;34;56;26.0;15;6;3;-3;68;5;5;7;8;-5;-5;-35.0;-8;-1;4;5;38;7;27;13;-83;-47;-31;-18;-19;-14;-1;22;7;14;10;8;7;1;8;7;7;7;12;-10;-7;-8;-9;-10;-14;-12;-11;-6;-5;6;-8;-1;-2;-2;-3;-2;-3;-8;6.0;6.0;-7;10.0;25.0;2;12:15:00;1;SOU;TOT
MCI X LIV 2017-03-19;152 (79%);147 (77%);299 (78%);205 (85%);284 (88%);489 (87%);8;8;16;7;4;11;45%;37%;41%;55%;63%;59%;;;;;;;;;;;;;3;1;4;1;1;2;5;3;8;5;4;9;0;1;1;0;0;0;32;38;70;30;28;58;7;14;1;1;2;2;1;3;0;0;0;0;1;1;1;1;2;6;0;6;192;191;383;242;321;563;;;;;;;8;5;13;4;8;12;3;2;5;2;6;8;2;2;4;1;2;3;0;0;0;0;1;1;8;5;13;4;9;13;2;1;3;1;2;3;1;2017-03-19;-10;23;7;10;9;5;32;20;17;16;7;11;-2;23;16;-13;4;5;5;26;16;-16;3.0;5;5;-23;-9;-1;19.0;-34;-45;-22;40;-3;10;-79;-71;-59;-24;29;-40.0;29;20;-28;-13;2;-14;-83;-43;-17;-4;-9;48;30;14;5;8;1;-5;-25;-16;-36;-63;-39;-17;55;32;-4;100;63;43;-25;10;5;5;6;10;10;50;11;-15;31;13;11;29;22;34;29.0;65.0;31;41.0;35.0;1;14:30:00;0;LIV;MCI
LIV X EVE 2017-04-01;167 (72%);145 (73%);312 (73%);225 (80%);143 (75%);368 (78%);17;11;28;17;11;28;46%;53%;49%;54%;47%;51%;;;;;;;;;;;;;1;1;2;2;1;3;2;1;3;1;1;2;;;;;;;42;42;84;47;29;76;10;17;0;2;2;0;3;3;;;;;;;1;0;1;0;1;1;231;198;429;282;190;472;;;;;;;2;3;5;4;2;6;1;2;3;0;1;1;1;3;4;3;3;6;1;3;4;1;3;4;3;6;9;5;5;10;2;1;3;0;1;1;1;2017-04-01;-10;41;31;20;11;-1;-1;-1;-1;-1;-1;-7;-1;30;4;-27;-10;-9;-4;14;5;-60;4.0;-68;-35;39;38;30;44.0;30;19;13;12;-4;4;1;4;-5;-5;-7;0.0;-2;-2;-2;-3;-6;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-2;-93;-54;37;-4;-2;3;35;-37;-12;39;1;17;-32;-68;-48;-28;-8;3;7;47;37;3;25;19;15;12;32;25;20;58;40.0;-25.0;76;1.0;-20.0;3;09:30:00;1;EVE;LIV
BUR X TOT 2017-04-01;222 (81%);245 (82%);467 (82%);123 (71%);125 (67%);248 (69%);10;7;17;13;11;24;60%;62%;61%;40%;38%;39%;;;;;;;;;;;;;2;4;6;3;2;5;4;3;7;2;1;3;;;;;;;22;26;48;25;31;56;6;9;1;1;2;2;3;5;;;;;;;0;1;1;2;3;5;275;298;573;174;187;361;;;;;;;2;8;10;4;1;5;2;4;6;2;4;6;2;5;7;1;1;2;4;5;9;2;6;8;6;13;19;6;7;13;0;0;0;0;2;2;2;2017-04-01;-50;45;26;19;-21;-9;-14;20;1;-6;-5;-37;-1;-46;-30;-21;-16;-13;-8;-3;2;1;-30.0;-2;-1;34;27;-47;-19.0;-17;-23;-21;-50;-25;-25;-9;10;28;19;0;0.0;1;1;1;-7;-23;-10;-71;-46;-32;-28;-15;-3;6;-5;-4;-18;-6;-4;-3;-21;-12;-32;-19;-21;-100;-73;-11;-46;-31;-22;-10;16;2;52;32;-35;-89;-8;-56;-66;-54;-38;-17;-10;-29;-16;-9.0;-5.0;-11;10.0;-5.0;0;12:00:00;-1;TOT;BUR
CHE X CRY 2017-04-01;87 (73%);75 (68%);162 (71%);268 (87%);260 (86%);528 (87%);7;8;15;5;6;11;29%;26%;28%;71%;74%;72%;;;;;;;;;;;;;0;0;0;2;6;8;2;1;3;5;4;9;;;;;;;21;35;56;29;25;54;14;12;7;3;10;0;1;1;;;;;;;0;2;2;2;2;4;119;110;229;307;301;608;;;;;;;3;3;6;7;9;16;3;2;5;1;4;5;2;1;3;8;3;11;2;0;2;4;4;8;5;3;8;11;13;24;0;2;2;0;3;3;2;2017-04-01;20;-11;-6;-78;-45;-61;-34;-12;4;4;8;51;8;13;17;8;24;-24;47;39;10;10;34.0;8;7;8;8;47;30.0;20;14;4;3;19;23;95;19;19;43;28;90.0;11;-10;2;7;11;3;3;8;9;10;41;39;28;21;17;4;13;11;-63;-26;-8;8;2;37;18;17;-1;11;11;-30;-9;6;6;7;82;58;40;-1;48;54;16;19;71;40;22;44;30.0;9.0;-1;1.0;35.0;1;12:00:00;-1;CRY;CHE
HUL X WES 2017-04-01;161 (77%);196 (80%);357 (79%);165 (73%);94 (59%);259 (67%);14;10;24;9;7;16;49%;61%;55%;51%;39%;45%;;;;;;;;;;;;;1;0;1;1;0;1;5;0;5;3;2;5;;;;;;;33;32;65;25;22;47;9;16;0;1;1;2;1;3;0;0;0;0;1;1;1;0;1;1;1;2;208;246;454;225;160;385;;;;;;;3;5;8;1;5;6;1;6;7;0;3;3;3;1;4;0;3;3;2;2;4;0;1;1;5;7;12;1;6;7;1;1;2;0;2;2;1;2017-04-01;1;1;-10;45;18;-13;-48;-20;-27;-14;-51;1;-54;-30;-14;-6;3;4;3;3;3;3;1.0;20;15;8;-102;-55;-32.0;-17;-8;5;1;1;-2;-2;-3;-3;-3;-2;-85.0;3;3;4;10;1;1;-5;-6;-8;-9;36;9;-6;-11;-4;1;-3;32;70;14;10;-8;43;-33;-7;-6;1;-5;-8;-5;-10;-13;-40;-26;-18;-12;-9;1;-5;-5;8;39;20;9;2;62;30.0;15.0;1;40.0;-80.0;2;12:00:00;1;WES;HUL
LEI X STO 2017-04-01;115 (69%);195 (78%);310 (74%);131 (71%);146 (70%);277 (70%);21;19;40;13;12;25;47%;56%;52%;53%;44%;48%;;;;;;;;;;;;;0;3;3;6;0;6;2;2;4;7;3;10;0;0;0;0;2;2;29;39;68;31;33;64;11;7;1;7;8;1;1;2;0;0;0;1;0;1;0;4;4;1;0;1;167;251;418;185;209;394;;;;;;;2;7;9;7;5;12;1;4;5;5;2;7;1;1;2;2;8;10;0;1;1;6;5;11;2;8;10;13;10;23;2;2;4;0;1;1;0;2017-04-01;2;2;2;2;2;2;27;10;9;6;15;-24;-19;-5;49;49;6;37;100;52;23;11;-15.0;15;24;26;-22;4;4.0;14;15;73;50;-8;37;39;20;5;-4;-4;0.0;-3;-3;-3;-3;-3;114;45;27;56;23;-6;-6;-17;66;37;-1;20;10;4;-4;33;36;60;4;-7;-5;2;-5;-12;-11;-7;-5;-4;-3;-7;-39;-59;2;-6;9;6;5;6;6;63;32;14.0;4.0;2;-5.0;15.0;2;12:00:00;1;STO;LEI
MUN X WBA 2017-04-01;82 (65%);84 (62%);166 (64%);332 (88%);340 (88%);672 (88%);6;6;12;8;6;14;25%;26%;26%;75%;74%;74%;;;;;;;;;;;;;1;0;1;5;2;7;0;1;1;1;5;6;;;;;;;23;27;50;26;29;55;13;15;0;3;3;0;1;1;0;1;1;0;0;0;;;;;;;126;135;261;376;385;761;;;;;;;0;1;1;5;4;9;0;1;1;4;4;8;0;1;1;0;3;3;1;1;2;4;5;9;1;2;3;9;9;18;0;3;3;1;2;3;0;2017-04-01;6;13;33;20;17;17;17;15;9;6;3;9;28;43;32;25;26;20;22;15;16;51;11.0;67;47;30;14;9;4.0;9;12;14;15;12;7;7;7;7;7;7;-5.0;4;5;6;12;13;11;4;4;4;-8;33;19;39;30;21;13;12;14;13;13;19;38;28;23;80;49;13;29;39;65;36;21;12;1;21;11;8;13;5;6;5;36;29;20;15;-37;-15.0;64.0;13;4.0;-10.0;0;12:00:00;0;WBA;MUN
WAT X SUN 2017-04-01;110 (69%);98 (69%);208 (69%);170 (84%);148 (80%);318 (82%);11;12;23;12;16;28;43%;44%;44%;57%;56%;56%;;;;;;;;;;;;;2;4;6;2;6;8;6;3;9;6;7;13;0;0;0;1;0;1;24;23;47;27;36;63;8;12;5;4;9;0;3;3;0;0;0;0;1;1;0;0;0;0;1;1;159;143;302;202;185;387;;;;;;;1;2;3;8;7;15;1;1;2;4;1;5;0;3;3;5;5;10;2;6;8;3;5;8;3;8;11;11;12;23;0;3;3;0;1;1;0;2017-04-01;-3;-6;-61;104;45;26;15;13;3;70;48;-4;70;50;54;24;6;3;3;30;43;31;-5.0;30;15;9;-14;7;7.0;34;28;21;15;-6;-17;-9;-7;-6;31;31;80.0;22;17;-21;-2;-6;49;30;21;22;-15;6;26;14;12;98;-6;57;11;35;79;29;15;-34;47;69;37;-6;7;6;-36;-24;-14;-7;10;-6;-66;-44;-6;-32;39;9;13;-62;-33;-24;43;14.0;5.0;-6;-3.0;0.0;1;12:00:00;1;SUN;WAT
SOU X BOU 2017-04-01;103 (71%);158 (79%);261 (75%);251 (85%);208 (81%);459 (83%);10;9;19;12;8;20;34%;44%;39%;66%;56%;61%;;;;;;;;;;;;;1;1;2;1;1;2;3;0;3;5;1;6;;;;;;;23;27;50;26;22;48;8;14;2;2;4;0;2;2;0;1;1;1;0;1;1;0;1;3;1;4;146;201;347;297;257;554;;;;;;;2;6;8;6;4;10;1;6;7;5;3;8;1;2;3;2;2;4;1;3;4;2;2;4;3;9;12;8;6;14;0;0;0;0;1;1;0;2017-04-01;4;33;28;14;13;10;21;19;13;44;24;-2;41;28;-41;-13;-5;-2;3;25;-22;-51;8.0;-24;-12;-2;-4;-16;-4.0;-18;-7;-39;-13;33;19;12;6;11;35;60;0.0;100;75;47;30;26;15;5;5;5;5;5;5;5;5;7;22;9;10;-21;65;42;30;22;13;6;31;48;11;4;-27;-52;-40;-70;-37;-16;10;5;34;-21;-34;-21;45;41;45;27;15;4.0;-2.0;49;-39.0;-35.0;0;14:30:00;0;BOU;SOU
SWA X MID 2017-04-02;135 (70%);124 (75%);259 (72%);215 (85%);119 (71%);334 (80%);6;17;23;9;14;23;42%;48%;45%;58%;52%;55%;;;;;;;;;;;;;2;1;3;2;4;6;2;1;3;3;8;11;;;;;;;28;41;69;24;30;54;16;9;1;2;3;0;1;1;;;;;;;0;0;0;1;0;1;193;165;358;252;168;420;;;;;;;2;4;6;3;3;6;1;3;4;4;2;6;0;1;1;1;2;3;1;1;2;4;5;9;3;5;8;7;8;15;1;2;3;1;1;2;0;2017-04-02;10;10;66;38;21;-41;-18;-1;-8;-3;3;7;3;3;4;9;7;6;22;11;9;33;11.0;21;43;20;11;9;34.0;27;1;3;4;8;32;20;15;11;9;5;15.0;3;4;5;45;6;29;25;18;-42;-3;9;6;3;-5;-5;8;-3;-47;-27;-16;-8;41;24;14;8;5;10;5;9;11;57;65;39;-34;-9;17;4;20;24;21;17;18;14;26;15;28;16.0;;14;14.0;-30.0;0;10:30:00;0;MID;SWA
ARS X MCI 2017-04-02;147 (74%);251 (82%);398 (79%);169 (76%);137 (75%);306 (76%);7;9;16;3;10;13;48%;63%;56%;52%;37%;44%;;;;;;;;;;;;;1;2;3;0;0;0;2;6;8;2;1;3;;;;;;;27;35;62;26;38;64;15;8;1;0;1;1;2;3;1;0;1;0;0;0;3;3;6;3;2;5;200;306;506;223;182;405;;;;;;;4;5;9;3;3;6;2;4;6;3;2;5;3;2;5;2;1;3;2;3;5;2;0;2;6;8;14;5;3;8;1;1;2;2;1;3;2;2017-04-02;-10;-9;-4;6;4;5;1;2;3;-19;-49;-12;-53;-19;38;14;58;43;27;16;13;7;-12.0;32;18;12;-8;-1;4.0;3;-3;-48;-23;-13;-15;90;43;-81;-25;15;0.0;36;25;40;19;15;6;-5;-6;-35;106;56;28;12;-69;-46;-76;-32;-29;-28;-17;-6;-28;-20;-85;-80;-57;-45;-37;-20;12;-8;-8;-10;-12;-13;-31;-22;-26;-17;-9;-14;13;10;-13;-31;-15;-7.0;28.0;-7;-52.0;-5.0;2;13:00:00;0;MCI;ARS
